link,likes/views,comments
https://www.instagram.com/p/B9JZ-rpHWdF/,80.8k,282
https://www.instagram.com/p/B9I14HdnyOG/,65.1k,285
https://www.instagram.com/p/B9IltrNH7_C/,92.3k,755
https://www.instagram.com/p/B9ICGhjHA0L/,67.9k,358
https://www.instagram.com/p/B9HjendnAn2/,99.5k,953
https://www.instagram.com/p/B9GI6WzHmPb/,78.1k,579
https://www.instagram.com/p/B9Fj9WWnvdM/,60.5k,627
https://www.instagram.com/p/B9Ex7GjH2S3/,77k,740
https://www.instagram.com/p/B9EkMmSHKeL/,57.9k,724
https://www.instagram.com/p/B9CoRR-ngRh/,58k,"2,135"
https://www.instagram.com/p/B9BTWPcHqgl/,98.7k,"1,090"
https://www.instagram.com/p/B9ASn5EnPYb/,76.1k,591
https://www.instagram.com/p/B8_5x4rnU15/,97.2k,"1,230"
https://www.instagram.com/p/B8-lKvtnXhF/,102k,630
https://www.instagram.com/p/B88E4nBnZZu/,100k,331
https://www.instagram.com/p/B87N6NjnLCw/,125k,"1,290"
https://www.instagram.com/p/B862wo3H7jS/,87.1k,617
https://www.instagram.com/p/B84SD3BHjUu/,94.1k,600
https://www.instagram.com/p/B83JGDOny7m/,114k,"1,561"
https://www.instagram.com/p/B813bfcnjPN/,133k,"2,483"
https://www.instagram.com/p/B80dpIIHr5x/,78k,666
https://www.instagram.com/p/B8zhQH4neiC/,84k,"3,398"
https://www.instagram.com/p/B8yB2NTHng9/,85.8k,642
https://www.instagram.com/p/B8xfPnGnOtC/,117k,"1,682"
https://www.instagram.com/p/B8wfv5FHQGH/,88.9k,367
https://www.instagram.com/p/B8vThAVHfdm/,71.9k,502
https://www.instagram.com/p/B8uueK9n8yn/,77.2k,317
https://www.instagram.com/p/B8uROlUni3Q/,56k,238
https://www.instagram.com/p/B8uAOewHu-J/,68.2k,415
https://www.instagram.com/p/B8twtfRnOxk/,39.9k,630
https://www.instagram.com/p/B8s4IGBHy8v/,45k,151
https://www.instagram.com/p/B8sk1ghn2M1/,81.4k,334
https://www.instagram.com/p/B8rpZxpHmVi/,88.4k,"5,936"
https://www.instagram.com/p/B8p5Ty9HNAQ/,80.2k,"1,074"
https://www.instagram.com/p/B8pqCrxnYyw/,98.3k,542
https://www.instagram.com/p/B8pUVDHniC5/,46k,165
https://www.instagram.com/p/B8o4pcRH-cA/,58.4k,"1,071"
https://www.instagram.com/p/B8njJf2nALA/,83.2k,428
https://www.instagram.com/p/B8nB8AJHXTm/,74.4k,342
https://www.instagram.com/p/B8mf88XHvLg/,72.1k,437
https://www.instagram.com/p/B8mRgadHPeh/,74.1k,"1,332"
https://www.instagram.com/p/B8lMvS4nXhv/,70.8k,303
https://www.instagram.com/p/B8k-krRH8rt/,83.2k,645
https://www.instagram.com/p/B8kdSjQnNQJ/,39.7k,450
https://www.instagram.com/p/B8iXQvZndt9/,67.4k,268
https://www.instagram.com/p/B8hxe-RnaK_/,67.1k,"1,267"
https://www.instagram.com/p/B8hQZtiHPYR/,51.4k,232
https://www.instagram.com/p/B8g09L1nffb/,101k,"1,727"
https://www.instagram.com/p/B8f8M8PnV_s/,53.2k,242
https://www.instagram.com/p/B8fKGTpn-D9/,69.6k,273
https://www.instagram.com/p/B8erAo_HRYR/,69k,453
https://www.instagram.com/p/B8dXjPZnc_j/,41.2k,"1,428"
https://www.instagram.com/p/B8c-A7rnpe6/,45.1k,343
https://www.instagram.com/p/B8coFXIH-zm/,72k,380
https://www.instagram.com/p/B8cSeVcnlBS/,63.7k,333
https://www.instagram.com/p/B8cH82NnEVR/,91.4k,834
https://www.instagram.com/p/B8buERAnjZv/,52.7k,203
https://www.instagram.com/p/B8aoA-CH12_/,59.8k,754
https://www.instagram.com/p/B8aLrfhnwT7/,75.2k,461
https://www.instagram.com/p/B8Z_wXBHgJE/,84.8k,267
https://www.instagram.com/p/B8ZXcEGn6YX/,70.3k,"1,052"
https://www.instagram.com/p/B8YCtHLn14G/,60.2k,953
https://www.instagram.com/p/B8X7FMGHrkj/,45.1k,571
https://www.instagram.com/p/B8XlPjcHl76/,66.2k,362
https://www.instagram.com/p/B8W28DNn3DH/,75.2k,"1,087"
https://www.instagram.com/p/B8U06K4Hwy1/,72.5k,"5,120"
https://www.instagram.com/p/B8T8_WmnHpF/,74.1k,693
https://www.instagram.com/p/B8S_RfBnuhd/,85.3k,968
https://www.instagram.com/p/B8SmHhJnsB4/,55.1k,593
https://www.instagram.com/p/B8SKjKznmA0/,88.7k,"1,004"
https://www.instagram.com/p/B8Rz3niHxEm/,51.2k,318
https://www.instagram.com/p/B8Qqo2_H__y/,82.9k,"1,282"
https://www.instagram.com/p/B8PiaPJn5ke/,69.9k,921
https://www.instagram.com/p/B8PYfDwHv5S/,76.6k,"1,022"
https://www.instagram.com/p/B8PAQIon8Vt/,57k,"1,793"
https://www.instagram.com/p/B8Nr2HZnGDS/,105k,641
https://www.instagram.com/p/B8NPIm2nB1T/,43.3k,760
https://www.instagram.com/p/B8L_KdJnqWv/,64.2k,808
https://www.instagram.com/p/B8KqbRRnlAm/,67.1k,526
https://www.instagram.com/p/B8KPqS3nFBA/,71.8k,460
https://www.instagram.com/p/B8InSL2HWbE/,63.5k,361
https://www.instagram.com/p/B8H2cuEnZcB/,51.7k,861
https://www.instagram.com/p/B8HYS0DHckE/,83.8k,457
https://www.instagram.com/p/B8F_YMxHMTp/,69k,658
https://www.instagram.com/p/B8DriEQn9Lt/,68.4k,332
https://www.instagram.com/p/B8DVkzrnEz_/,78.9k,411
https://www.instagram.com/p/B8C7tMSH_HT/,82k,963
https://www.instagram.com/p/B8CTsmDH870/,61.3k,275
https://www.instagram.com/p/B8AhMZ8nPsQ/,61.2k,353
https://www.instagram.com/p/B8AHWy6nDV2/,49.2k,816
https://www.instagram.com/p/B7-JT16HC78/,70.2k,538
https://www.instagram.com/p/B79wG8SHjND/,89.9k,"1,333"
https://www.instagram.com/p/B79N-5LnpjW/,64.8k,"2,238"
https://www.instagram.com/p/B77wPJVHIh1/,64.9k,625
https://www.instagram.com/p/B77o8r7HdL4/,79.4k,"1,613"
https://www.instagram.com/p/B76qBPMH_Ge/,74.1k,372
https://www.instagram.com/p/B75OUtiHvKx/,71.3k,895
https://www.instagram.com/p/B74iD55Hs6Y/,78.9k,758
https://www.instagram.com/p/B72qJkdn66y/,101k,831
https://www.instagram.com/p/B72aLLFHZpV/,59.2k,214
https://www.instagram.com/p/B71x2zQn6IW/,97.6k,"1,252"
https://www.instagram.com/p/B70G14snVqZ/,59.6k,"1,315"
https://www.instagram.com/p/B7zoUrCnaC9/,69k,344
https://www.instagram.com/p/B7y1xyxH68L/,72.7k,649
https://www.instagram.com/p/B7wzsK_HsF9/,78k,679
https://www.instagram.com/p/B7wYPg8Ha3y/,80.8k,844
https://www.instagram.com/p/B7vV74lHfRf/,108k,721
https://www.instagram.com/p/B7u__9zHAPf/,70k,250
https://www.instagram.com/p/B7uwYOSnYPJ/,70.7k,460
https://www.instagram.com/p/B7uXckJHmKR/,74.1k,300
https://www.instagram.com/p/B7sk1h7n1jP/,70.6k,276
https://www.instagram.com/p/B7sN4PCHNRi/,80.1k,443
https://www.instagram.com/p/B7rmdSHHADP/,63.4k,606
https://www.instagram.com/p/B7qjdLznuFe/,54.3k,291
https://www.instagram.com/p/B7piwFhnEfH/,69.3k,355
https://www.instagram.com/p/B7pPYv5nmcP/,62.7k,545
https://www.instagram.com/p/B7o-c_2HdzQ/,82.8k,928
https://www.instagram.com/p/B7nAB7FnohA/,84.1k,434
https://www.instagram.com/p/B7mczgvnGKv/,88.3k,924
https://www.instagram.com/p/B7kfPFgnEh3/,73k,"1,197"
https://www.instagram.com/p/B7kQ6zfHCly/,71.6k,356
https://www.instagram.com/p/B7j2F4OHUyz/,92.3k,720
https://www.instagram.com/p/B7iec-JHyfj/,68.1k,"2,095"
https://www.instagram.com/p/B7heAcqnBj2/,98.9k,890
https://www.instagram.com/p/B7ekJnFnOS8/,81.9k,423
https://www.instagram.com/p/B7dFPxMnXj6/,96k,658
https://www.instagram.com/p/B7cJtugHpQH/,92.2k,"1,336"
https://www.instagram.com/p/B7aco_JnkR6/,58.3k,345
https://www.instagram.com/p/B7Z3WCaHHiN/,56.7k,"1,296"
https://www.instagram.com/p/B7ZfSo-Hs_Z/,93.3k,767
https://www.instagram.com/p/B7XgGqDH1Cw/,97.1k,671
https://www.instagram.com/p/B7XJlsxndq4/,52.2k,295
https://www.instagram.com/p/B7UusWBH8KA/,78k,580
https://www.instagram.com/p/B7UhvVCHdFd/,73.7k,350
https://www.instagram.com/p/B7TKkI-HxYM/,81.6k,992
https://www.instagram.com/p/B7SZBTuHLfx/,48.5k,611
https://www.instagram.com/p/B7SGTetHd-s/,68.1k,462
https://www.instagram.com/p/B7ROerxHZ5W/,87.2k,967
https://www.instagram.com/p/B7QP_bvHhoE/,80.3k,"1,046"
https://www.instagram.com/p/B7PZXIwnHYI/,79k,587
https://www.instagram.com/p/B7PKdssnpIx/,69.4k,919
https://www.instagram.com/p/B7OoTw0HCh5/,69.2k,417
https://www.instagram.com/p/B7N5toNHITf/,75k,"2,515"
https://www.instagram.com/p/B7NVbl8HHu5/,84.5k,434
https://www.instagram.com/p/B7LZpq_n02z/,57.5k,"4,346"
https://www.instagram.com/p/B7KlmUFnl_N/,101k,565
https://www.instagram.com/p/B7KMHu7n0Ow/,70.9k,500
https://www.instagram.com/p/B7JvdgyHDd0/,78.3k,388
https://www.instagram.com/p/B7JgqisFuTk/,83.7k,510
https://www.instagram.com/p/B7Ii0ofHZXd/,87.2k,980
https://www.instagram.com/p/B7Hef_SHzQb/,76.7k,574
https://www.instagram.com/p/B7HIq8DHm8p/,69.4k,652
https://www.instagram.com/p/B7GXRJ2ni-P/,60.5k,869
https://www.instagram.com/p/B7FtTCnnXaH/,93.2k,999
https://www.instagram.com/p/B7FWpDaH6S-/,74.4k,"1,238"
https://www.instagram.com/p/B7Ey2Adno7X/,69.3k,"1,193"
https://www.instagram.com/p/B7DGRDnnakq/,60k,443
https://www.instagram.com/p/B7AhiF9nNEz/,91.8k,775
https://www.instagram.com/p/B69sNQTHi77/,100k,"1,344"
https://www.instagram.com/p/B69RhFonzlR/,62.8k,"1,414"
https://www.instagram.com/p/B67CsBVnsdb/,64.7k,993
https://www.instagram.com/p/B64ubhfHi7K/,69.4k,910
https://www.instagram.com/p/B63U6RtHn1O/,77.5k,549
https://www.instagram.com/p/B6yctATnOli/,86.6k,438
https://www.instagram.com/p/B6xG0mhnPfD/,91.6k,563
https://www.instagram.com/p/B6vMQBoHMOk/,60.3k,554
https://www.instagram.com/p/B6tQi4zHM2U/,63.8k,541
https://www.instagram.com/p/B6qpCVbH56k/,100k,"2,430"
https://www.instagram.com/p/B6pRUHUn_0T/,109k,"1,184"
https://www.instagram.com/p/B6oBvZyn6eu/,92k,947
https://www.instagram.com/p/B6mQn0sne4e/,73.7k,"5,641"
https://www.instagram.com/p/B6kM3fxHS3F/,84.3k,"1,752"
https://www.instagram.com/p/B6j8ljzntQo/,102k,651
https://www.instagram.com/p/B6hA4BdnnzF/,102k,961
https://www.instagram.com/p/B6gN6VQHLAv/,63.8k,"4,442"
https://www.instagram.com/p/B6d3oQ1nONU/,67.8k,"1,178"
https://www.instagram.com/p/B6b2lDWHouK/,76.9k,612
https://www.instagram.com/p/B6bGLPSHh94/,32.1k,147
https://www.instagram.com/p/B6Zh8jVHxMW/,54.4k,270
https://www.instagram.com/p/B6Yonjlnqw8/,67.8k,"1,239"
https://www.instagram.com/p/B6YV1J1nwOi/,90.9k,642
https://www.instagram.com/p/B6WrqFlnkdK/,103k,"1,636"
https://www.instagram.com/p/B6UohgtH5Pw/,78.7k,"2,486"
https://www.instagram.com/p/B6T2sPiHnZv/,63.8k,"1,306"
https://www.instagram.com/p/B6TOsDrH2b4/,42.1k,533
https://www.instagram.com/p/B6RvQlEnw72/,84.5k,669
https://www.instagram.com/p/B6Ra3vnnV8Y/,98.3k,948
https://www.instagram.com/p/B6QE1MsnB77/,50.6k,838
https://www.instagram.com/p/B6PApIUHYFj/,68.8k,313
https://www.instagram.com/p/B6OvBuOHZtR/,94.1k,"1,219"
https://www.instagram.com/p/B6Nrg3sHg6Y/,109k,"1,401"
https://www.instagram.com/p/B6M6nxZHR63/,65.5k,356
https://www.instagram.com/p/B6L34rtnuoA/,89k,717
